Segment,Sex,last_buy_shoes,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,three_words_1,three_words_2,three_words_3,recent_spending,online_offline,online_search_1,online_search_2,online_search_3,online_search_4,online_search_5,online_search_6,where_usually,where_bought, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,most_frustrating_online_1,most_frustrating_online_2,most_frustrating_online_3,most_frustrating_online_4,most_frustrating_online_5,most_frustrating_online_6,most_frustrating_online_7,most_frustrating_online_8,most_frustrating_online_9,most_frustrating_online_10,most_frustrating_online_11,most_frustrating_offline_1,most_frustrating_offline_2,most_frustrating_offline_3,most_frustrating_offline_4,most_frustrating_offline_5,most_frustrating_offline_6,most_frustrating_offline_7,most_frustrating_offline_8,most_frustrating_offline_9,most_frustrating_offline_10,most_frustrating_offline_11,most_frustrating_offline_12,most_frustrating_offline_13,need_expert_advice,age,occupation,parent
Mature Family,Male,More than 12 months,1 to 2 times per week,,Road,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Endurance,resistance,flexible,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,,Price,Fit and comfort,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,,,Making the difference between products with different prices,,Presentation of unclear shoes,,,Identify running shoes compared with running shoes,,,,,Neither agree nor disagree,37-45 years,Employee,Yes
Mature Professional,Male,0 to 3 months,3 to 4 times a week,Sports Hall,,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Good,,,<50 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,Durability,,Lightness,,,,,,,Agree,,I knew they were good value for money,,,,,I knew they were the most comfortable,A friend or peer's agreed I had chosen the right ones,,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Agree,31-36 years,Employee,No
Mature Family,Male,0 to 3 months,1 to 2 times per week,,,,Track,Advanced,It helps me keep my mind and body in shape.,,,,,,,,This helps me to spend time with my kids or show them an example.,,I love discovering new environments.,,,,,,,I need to replace old shoes.,I want to race.,,,Flexible,light,comfortable,Between 50 and 100 €,At the store,Searches Online,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,Lightness,,Bounce and cushioning,,,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,,I had seen advertising / promotions / consumer reviews,I knew they were the most comfortable,,,,,,,,,Product images will not have the advantages,,,,,,,Finding a suitable product for my personal needs,,,Presentation of unclear shoes,,,,,,,,Strongly Agree,46-55 years,Employee,Yes
Mature Family,Male,More than 12 months,1 to 2 times per month,,Road,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,,,Comfort,performance,durable,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,,Price,Fit and comfort,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,Too many options to choose from,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,No system / tool to choose the right pair of shoes,,Limited product selection,,,,Agree,46-55 years,Employee,Yes
Empty Nester,Female,0 to 3 months,1 to 2 times per month,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,,,,,,It's a way for me to contribute to a cause / charity which is of importance to me.,,I like to improve myself and learn new skills.,,I plan to run more often.,,,,,Cushioning,of,shocks,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,Price,,,,Strongly Disagree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,Product images will not have the advantages,,,,,Differentiate between the different models of running shoes,,,Making the difference between products with different prices,Staff poor knowledge about products,Presentation of unclear shoes,,,,,,,,Strongly Agree,55+,Employee,Yes
Mature Family,Male,I do not have running shoes,I do not practice running,Sports Hall,,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Light,,,<50 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,Lightness,,,Price,,,,Strongly Agree,,,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,,Never bought online,,,,,,,,,,,,no frustration,,Neither agree nor disagree,46-55 years,Employee,Yes
Mature Family,Female,7 to 12 months,3 to 4 times a week,Sports Hall,,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,,,Between 100 and 150 €,At the store,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,Shock absorption,,,,,Fit and comfort,,,Strongly Agree,,,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Neither agree nor disagree,37-45 years,Employee,Yes
Mature Family,Female,More than 12 months,1 to 2 times per month,Sports Hall,,,,Beginner,,,,,,,,,,,,,It's a way for me to contribute to a cause / charity which is of importance to me.,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Flexible,light,comfortable,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,,,Bounce and cushioning,Price,Fit and comfort,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,,It is not possible to try them on,,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,,,,,,,,,,Neither agree nor disagree,37-45 years,Employee,Yes
Mature Family,Female,More than 12 months,1 to 2 times per month,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,-,reinforcement,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,,,,,Identify running shoes compared with running shoes,,,Too many options to choose from,,,,,,,,Staff poor knowledge about products,Presentation of unclear shoes,,,,,,,,Strongly Agree,37-45 years,Employee,Yes
Mature Family,Female,0 to 3 months,1 to 2 times per week,,,Trail,Track,Intermediate,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Light,support,comfortable,Between 50 and 100 €,Online,,,Advice from friends or family members,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,Maintenance / anti-pronation,,Price,,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,,Finding a suitable product for my personal needs,,Staff poor knowledge about products,,,No system / tool to choose the right pair of shoes,,,,,,Agree,37-45 years,Employee,Yes
Mature Professional,Female,4 to 6 months,1 to 2 times per week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,,,Comfortable,sturdy,cushioning,Between 50 and 100 €,At the store,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,Bounce and cushioning,,Fit and comfort,,,Strongly Agree,,,,,,I had seen advertising / promotions / consumer reviews,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,,,,,,,,,,no frustration,,Neither agree nor disagree,46-55 years,Employee,No
Mature Family,Female,7 to 12 months,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,High,performance,light,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable,,,Differentiate between the different models of running shoes,,,,,,Product images will not have the advantages,,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,,,,,,,,,,,,Strongly Agree,46-55 years,Employee,Yes
Mature Family,Female,4 to 6 months,5 times a week or more,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,,,,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Cushioning,technical,nature,Between 100 and 150 €,At the store,Searches Online,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,,,,,,,,,,,,,,Staff poor knowledge about products,,,,,,,,,Neither agree nor disagree,37-45 years,Employee,Yes
Mature Family,Female,7 to 12 months,I do not practice running,,,,Track,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,flexible,and,<50 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,Shock absorption,,,,Price,,,,Neither agree nor disagree,,I knew they were good value for money,,,,I had seen advertising / promotions / consumer reviews,I knew they were the most comfortable,,,,,,,,Differences in language different websites in terms of product description,,,,,,,,,,,,,No system / tool to choose the right pair of shoes,,,,,,Agree,37-45 years,Employee,Yes
Retired,Male,I do not have running shoes,I do not practice running,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Good,cushioning,,Between 50 and 100 €,At the store,,Visit store,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Disagree,,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable,,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,Identify running shoes compared with running shoes,,,,,,,Differentiate between the different models of running shoes,,,,,,,,,,,,,Strongly Agree,55+,Retirement,Yes
Mature Professional,Male,0 to 3 months,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Grip,comfort,sturdiness,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Neither agree nor disagree,37-45 years,Employee,No
Young Professional,Female,I do not have running shoes,I do not practice running,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,I plan to run more often.,,,,,Comfortable,airy,supports,<50 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,Maintenance / anti-pronation,,,Fit and comfort,,,Neither agree nor disagree,,I knew they were good value for money,,,,,,,,,,,,,,,Too many options to choose from,,,,,,,,Staff poor knowledge about products,,,,,,,,,Strongly Agree,23-30 years,Employee,No
